시간,시작가,고가,저가,종가,거래량,macd,macd_s,macd_d,vwap,sar
07/27/24 16:51:00,68086.5,68092.5,68052.4,68092.5,208.074,-11.006112327610026,5.3698739416239105,-16.375986269233938,68153.3756650555,68188.23759024574
07/27/24 16:52:00,68092.5,68134.7,68092.4,68123.1,115.755,-12.096920724347001,1.876515008429728,-13.973435732776728,68148.81302312831,68166.50357580642
07/27/24 16:53:00,68123.2,68123.2,68087.0,68094.7,91.562,-15.079213106699171,-1.514630614596052,-13.564582492103119,68142.36118984004,68148.24700367739
07/27/24 16:54:00,68094.8,68094.8,68071.6,68071.7,92.065,-19.078681917861104,-5.027440875249063,-14.051241042612041,68136.21637881083,68134.7
07/27/24 16:55:00,68071.6,68075.4,68060.2,68064.0,74.571,-22.608993015877786,-8.543751303374808,-14.065241712502978,68129.42123170367,68123.2
07/27/24 16:56:00,68064.0,68064.0,68038.6,68053.7,188.535,-25.938906348892488,-12.022782312478345,-13.916124036414143,68115.8082578016,68111.872
07/27/24 16:57:00,68053.6,68053.6,68024.0,68024.0,92.14,-30.621443503259798,-15.742514550634636,-14.878928952625161,68109.12889340402,68098.68304
07/27/24 16:58:00,68024.0,68025.0,68009.7,68009.8,75.126,-35.073899182563764,-19.60879147702046,-15.465107705543303,68099.80787649774,68083.746432
07/27/24 16:59:00,68009.8,68025.0,68009.7,68013.6,112.327,-37.85945392638678,-23.258923966893725,-14.600529959493052,68080.18403433399,68068.9371456
07/27/24 17:00:00,68013.5,68061.8,68002.9,68047.3,130.303,-36.92210275500838,-25.991559724516655,-10.930543030491727,68073.19201877229,68009.7
07/27/24 17:01:00,68047.3,68108.8,68037.9,68103.7,211.87,-31.26780080870958,-27.04680794135524,-4.22099286735434,68072.00861735828,68009.7
07/27/24 17:02:00,68103.6,68113.7,68103.6,68107.2,61.61,-26.20226166777138,-26.87789868663847,0.6756370188670893,68070.36631746168,68002.9
07/27/24 17:03:00,68107.2,68129.2,68096.6,68129.2,58.822,-20.179947393058683,-25.538308427922512,5.3583610348638295,68070.59223332464,68009.548
